Capability L1,L1 Description/Definition,Capability L2,L2 Description/Definition,Capability L3,L3 Description/Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Event Management,"The Event Management Capability  is comprised of the periodic planning, promotion, running and evaluation of IT focused events. For example CSE/CUSTEX: Organise IT events such as DIGITEC, Digital accessibility events, working groups, task forces.", Event Organisation,"The Event Organisation Capability is the ability to organise IT events such as DIGITEC, Digital accessibility events, working groups, task forces. Adding a comment for testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Innovation Promotion/Engagement,"The Innovation Promotion/Engagement capability is the ability to promote an innovation mindset across the EP. Central to this is the EP Innovate platform whereby users can learn more about innovation and actively contribute to the promotion of an innovation mindset through the platform's content sharing capabilities. Innovation Space Managers can publish articles and run discussions in their spaces, which offers a way to help users stay inspired, engaged and informed about innovation good practices. The Technological Innovation Space, for example, regularly publishes Tech News updates and runs online Discussions on innovation topics, in addition to gathering innovation ideas in the Ideation corner. Innovation Space Managers are supported by the INNOVIT team through coaching, while the Innovators Playbook offers a quick getting started guide to anyone interested in becoming a promoter of innovation at the EP.",Innovation Events & Seminars Delivery,"The INNOVIT Events & Seminars Management capability is the ability to conceive and deliver events and seminars to various EP internal stakeholders in the context of innovation to create awareness and interest in this domain and stimulate an innovation mindset. For example, DG ITEC Innovation Week enables EP personnel to participate in expert talks, live interactive experiences with emerging technologies and demonstrations from researchers, entrepreneurs and the public sector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Innovation Promotion/Engagement,"The Innovation Promotion/Engagement capability is the ability to promote an innovation mindset across the EP. Central to this is the EP Innovate platform whereby users can learn more about innovation and actively contribute to the promotion of an innovation mindset through the platform's content sharing capabilities. Innovation Space Managers can publish articles and run discussions in their spaces, which offers a way to help users stay inspired, engaged and informed about innovation good practices. The Technological Innovation Space, for example, regularly publishes Tech News updates and runs online Discussions on innovation topics, in addition to gathering innovation ideas in the Ideation corner. Innovation Space Managers are supported by the INNOVIT team through coaching, while the Innovators Playbook offers a quick getting started guide to anyone interested in becoming a promoter of innovation at the EP.",Innovation Training & Learning,"The Innovation Training capability is the ability to provide training and learning in the area of innovation. The training can be general for a wider audience or more tailored to specific clients' needs. 
 
For example, Innovation Space Managers on the EP INNOVATE platform are supported by the INNOVIT team through coaching, while the Innovators Playbook offers a quick getting started guide to anyone interested in becoming a promoter of innovation at the EP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ","Internal Communication ","The Internal Communication capability is the ability to coordinate, prepare, deliver and monitor DG ITEC's communication activities directed at engaging and promoting ITEC's work and achievements across the EP and to convey important messages relating to ICT service provision to all EP end-users.  ",End User (Mass) Communications,"The End User (Mass) Communications capability is the ability to manage the approval, quality control and sending of mass communication emails relating to ICT service provision (e.g. notifications of planned application maintenance) from DG ITEC to its end-users – specifically emails going from the e-MEP, ITEC Service Desk and ITEC Comms functional email boxes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ","Internal Communication ","The Internal Communication capability is the ability to coordinate, prepare, deliver and monitor DG ITEC's communication activities directed at engaging and promoting ITEC's work and achievements across the EP and to convey important messages relating to ICT service provision to all EP end-users.  ",ITEC Communication Strategy,The ITEC Communication Strategy capability is the ability to establish and implement the DG ITEC Communication Strategy inline with the DG's mission and strategic direction and within the context of the wider EP Comms approach & protocols e.g. EP branding guidelines. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ","Internal Communication ","The Internal Communication capability is the ability to coordinate, prepare, deliver and monitor DG ITEC's communication activities directed at engaging and promoting ITEC's work and achievements across the EP and to convey important messages relating to ICT service provision to all EP end-users.  ",ITEC Communications,"The ITEC Communications capability is the ability to develop and deliver a broad range of written and audio-visual content for DG ITEC's communications channels to promote the DG and its activities and engage stakeholders or specific targeted audiences from across the EP. This includes, but is not limited to, the weekly newsletter to ITEC staff and the monthly ITEC Newsletter to the entire EP. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Internal Digital Communication Channels Management,"The Internal Digital Communication Channels Management capability is the ability to effectively communicate and share information within the European Parliament to inform and engage all staff by actively managing the content of various digital portals e.g. EP Corporate Intranet to ensure content is relevant, conforms to internal communication standards, is maintained and updated and specific content is able to be promoted to selected target audiences.",Corporate EP Intranet/Digital Content Management,The Corporate EP Intranet/Digital Content Management capability is the ability to manage the EP corporate intranet content and provide webmaster and editorial support to local intranet sites. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Internal Digital Communication Channels Management,"The Internal Digital Communication Channels Management capability is the ability to effectively communicate and share information within the European Parliament to inform and engage all staff by actively managing the content of various digital portals e.g. EP Corporate Intranet to ensure content is relevant, conforms to internal communication standards, is maintained and updated and specific content is able to be promoted to selected target audiences.",EP Data Science Lab Content & Community Management,"The EP Data Science Lab Content and Community Management capability is the ability to run and evolve the EP Data Science Portal where the data science community can meet to share best practices, knowledge and expertise on AI and data analytics. The platform is part of DG ITEC’s effort to support data-driven decision-making both at the political and at the administrative level in the EP. It will facilitate innovation by fostering the usage of data science methodologies. Ultimately, this will lead to increased data literacy and a thriving data culture. Through actively engaging practitioners across the EP, the aim is to encourage and support innovative initiatives in the fields of data science, data analytics and AI, view of paving the way towards the productive implementation of innovative data-driven technologies such as Artificial Intelligence (AI), Machine Learning and Big Data analytics at the European Parliament. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Internal Digital Communication Channels Management,"The Internal Digital Communication Channels Management capability is the ability to effectively communicate and share information within the European Parliament to inform and engage all staff by actively managing the content of various digital portals e.g. EP Corporate Intranet to ensure content is relevant, conforms to internal communication standards, is maintained and updated and specific content is able to be promoted to selected target audiences.",Innovation Digital Platform Content & Community Management,"The Innovation Digital Platform Content and Community Management capability is the ability to run and evolve the EP Innovate platform whereby users can learn more about innovation and actively contribute to the promotion  of an innovation mindset through the platform's content sharing capabilities.
Innovation Space Managers can publish articles and run discussions in their spaces, which offers a way to help users stay inspired, engaged and informed about innovation good practices. The Technological Innovation Space, for example, regularly publishes Tech News updates and runs online discussions on innovation topics, in addition to gathering innovation ideas in the Ideation corner.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,"The Communication capability supports:
1. External communication: enable European citizens to understand what the European Parliament is, what it does and what it stands for, by employing a variety of channels and tools.
The ultimate goal of all external communication efforts is to ensure that people understand the importance of the European Parliament well enough to engage in the European democratic process.
2. Internal communication: enable the EP administration to communicate effectively, creating transparency and awareness over their internal offerings and state of play. ",Multi-Channel Publishing,"Multi-channel Publishing is the capability to make information/content available to people in different formats (digital and print) and visual representations across different mediums and communication channels. It concerns the design, production and distribution of publishing products to internal clients (MEPS and their staff, political groups, the EP Administration and on occasion to other EU Institutions - it does not cover any type of direct communications to citizens or other external stakeholders). 
 
Examples of print publishing products include leaflets, brochures, EP diaries, EP calendar, roll-up banners and examples of digital publishing products include interactive PDFs, eNewsletters, infographics, eBanners, ePosters and animations.  ",Client Order Management,"The capability to manage the client requests for all of ITEC's publishing products and services offered to EP clients.  
 
The Publishing Service Desk (PSD) is the single point of client contact for a wide range of professional publishing products and services. PSD client managers handle orders from placement to the delivery of the final product, ensuring the highest quality standards in the shortest delay for the EP client. Client managers follow each job through from inception to completion. EP clients can also view and order digital and traditional print products online via the Publishing & Documents Catalogue portal.  
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
